,Initial Capital,Final Equity,Total Return %,Annualized Return %,Max Drawdown %,Total Trades,Win Rate %,Sharpe Ratio,Sortino Ratio,trend_ema,fast_ema,slow_ema,signal_ema,atr_period,atr_mult,rsi_upper,rsi_lower,enable_trailing,trailing_trigger_atr,trailing_dist_atr,enable_partial_take_profit,take_profit_atr,tp_size,risk_per_trade
71,10000,38205.99425838946,282.0599425838946,35.13404605586954,-27.84694011182214,50,46.0,1.0929814629488714,1.0411795863722708,200,15,26,9,14,1.5,80,25,False,3.0,1.5,False,4.0,0.5,0.95
51,10000,38205.99425838946,282.0599425838946,35.13404605586954,-27.84694011182214,50,46.0,1.0929814629488714,1.0411795863722708,200,15,26,9,14,1.5,80,25,False,2.0,1.0,False,2.0,0.5,0.95
52,10000,38205.99425838946,282.0599425838946,35.13404605586954,-27.84694011182214,50,46.0,1.0929814629488714,1.0411795863722708,200,15,26,9,14,1.5,80,25,False,2.0,1.0,False,3.0,0.5,0.95
22,10000,35902.81606393251,259.02816063932505,33.25977363495478,-24.45198665477968,50,54.0,1.1471621798295497,0.9501218166477005,200,15,26,9,14,1.5,80,25,True,2.0,1.5,False,3.0,0.5,0.95
23,10000,35902.81606393251,259.02816063932505,33.25977363495478,-24.45198665477968,50,54.0,1.1471621798295497,0.9501218166477005,200,15,26,9,14,1.5,80,25,True,2.0,1.5,False,4.0,0.5,0.95
21,10000,35902.81606393251,259.02816063932505,33.25977363495478,-24.45198665477968,50,54.0,1.1471621798295497,0.9501218166477005,200,15,26,9,14,1.5,80,25,True,2.0,1.5,False,2.0,0.5,0.95
38,10000,31625.695704904196,216.25695704904197,29.51632209173156,-25.352897666816137,50,46.0,1.0200630351706377,0.9581383764237067,200,15,26,9,14,1.5,80,25,False,1.5,1.0,True,4.0,0.5,0.95
68,10000,31625.695704904196,216.25695704904197,29.51632209173156,-25.352897666816137,50,46.0,1.0200630351706377,0.9581383764237067,200,15,26,9,14,1.5,80,25,False,3.0,1.5,True,4.0,0.5,0.95
62,10000,31625.695704904196,216.25695704904197,29.51632209173156,-25.352897666816137,50,46.0,1.0200630351706377,0.9581383764237067,200,15,26,9,14,1.5,80,25,False,3.0,1.0,True,4.0,0.5,0.95
56,10000,31625.695704904196,216.25695704904197,29.51632209173156,-25.352897666816137,50,46.0,1.0200630351706377,0.9581383764237067,200,15,26,9,14,1.5,80,25,False,2.0,1.5,True,4.0,0.5,0.95
